Accession	Seq_group	Name	Lat	Long
at6137	GMI	T850	55.9419	13.5603
at6923	Salk	HR-10	51.4083	-0.6383
at6929	Salk	Kondara	38.48	68.49
at7143	Salk	Gel-1	51.0167	5.86667
at8285	Salk	DraIII-1	49.4112	16.2815
at9104	Monsanto	Lag1-6	41.8296	46.2831
at9336	GMI	B̦n 1	62.8794	18.4473
at9503	Monsanto	11C1	55.8877	-3.21072
at9578	Monsanto	IP-Sac-0	42.13	-6.7
at9744	Monsanto	Iasi-1	47.16	27.59
at9762	Salk	Etna-2	37.69	14.98
at9806	Monsanto	Ru-2	48.56	9.16
at9830	Monsanto	IP-Bus-0	36.97	-3.28
at9847	Monsanto	IP-Fel-2	43.31	-5.7
at9852	Monsanto	IP-Ini-0	40.46	-3.75
at9879	Monsanto	IP-Per-0	37.6	-1.12
at9883	Monsanto	IP-Piq-0	42.1	-2.56
at9900	Monsanto	IP-Tri-0	37.38	-6.01
